City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Nieuw Amsterdam,SR,87.82,scattered clouds,5.8833,-55.0833,Hotel Stardust
472,Thinadhoo,MV,82.18,overcast clouds,0.5333,72.9333,
475,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
478,Umm Kaddadah,SD,78.19,clear sky,13.6017,26.6876,
480,Pearl,US,75.22,broken clouds,32.2746,-90.132,Hilton Garden Inn Jackson Pearl
485,Vao,NC,76.64,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
486,Kulhudhuffushi,MV,81.99,scattered clouds,6.6221,73.07,Haajy Guest House 1
488,Yenagoa,NG,81.23,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
489,Goundam,ML,82.11,overcast clouds,16.4145,-3.6708,
494,Turmalina,BR,78.26,broken clouds,-17.2856,-42.73,Hotel Cristal
497,Carauari,BR,87.44,broken clouds,-4.8828,-66.8958,Hotel Fellip
505,Kayes,ML,89.35,overcast clouds,14.0,-11.0,
506,Ciudad Guayana,VE,88.52,overcast clouds,8.3533,-62.6528,Hotel Las Americas
509,Vaitape,PF,81.3,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
522,Mananjary,MG,75.88,clear sky,-21.2167,48.3333,Vahiny Lodge
523,Gonzalez,US,77.76,broken clouds,30.5816,-87.2914,Rosan Plaza Hotel
531,Belmonte,BR,82.4,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
533,Amahai,ID,77.9,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
535,Spring,US,81.99,broken clouds,30.0799,-95.4172,Comfort Suites Old Town Spring
536,Sao Mateus,BR,78.53,few clouds,-18.7161,-39.8589,Hotel Rio Norte
537,Pemangkat,ID,77.81,broken clouds,1.1667,108.9667,Ramah Kost KITA
539,Antsohihy,MG,79.25,clear sky,-14.8796,47.9875,Hotel de Ville
545,Takoradi,GH,81.32,few clouds,4.8845,-1.7554,Raybow International Hotel
549,Santa Isabel Do Rio Negro,BR,83.08,overcast clouds,-0.4139,-65.0192,Hotel GSA
