City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Mackenzie,CA,2021-11-24 18:49:47,55.2999,-123.1698,28.62,93,90,13.8
192,Liwale,TZ,2021-11-24 18:49:47,-9.7667,37.9333,75.43,62,42,5.79
193,Port Hawkesbury,CA,2021-11-24 18:49:48,45.6169,-61.3485,42.39,94,90,11.99
194,Andujar,ES,2021-11-24 18:49:49,38.0392,-4.0508,52.2,78,100,2.66
195,Yumen,CN,2021-11-24 18:49:49,40.2833,97.2,28.89,29,1,13.53
196,Nizwa,OM,2021-11-24 18:49:49,22.9333,57.5333,75.09,30,4,2.86
197,Mingaora,PK,2021-11-24 18:49:50,34.7758,72.3625,55.83,32,100,4.94
198,Manzhouli,CN,2021-11-24 18:49:50,49.6,117.4333,-0.63,76,14,5.39
199,Wanaka,NZ,2021-11-24 18:48:08,-44.7,169.15,58.1,58,100,1.99
200,Vardo,NO,2021-11-24 18:49:51,70.3705,31.1107,24.55,93,90,12.66
201,Killybegs,IE,2021-11-24 18:49:51,54.6333,-8.45,46.11,66,41,19.37
202,Kaitangata,NZ,2021-11-24 18:49:51,-46.2817,169.8464,52.52,69,100,3.62
203,Kabompo,ZM,2021-11-24 18:49:52,-13.5927,24.2008,65.77,90,99,3.33
204,Cayenne,GF,2021-11-24 18:49:52,4.9333,-52.3333,87.84,81,75,3.0
205,Zabid,YE,2021-11-24 18:49:53,14.1951,43.3152,83.17,70,100,4.03
206,Flin Flon,CA,2021-11-24 18:49:53,54.7682,-101.865,-2.36,65,40,9.22
207,Esso,RU,2021-11-24 18:49:53,55.9333,158.7,16.11,98,100,3.22
208,Abu Kamal,SY,2021-11-24 18:49:54,34.4506,40.9171,62.47,48,8,8.32
209,Tshikapa,CD,2021-11-24 18:49:54,-6.4167,20.8,69.78,93,100,0.6
210,Farafangana,MG,2021-11-24 18:49:54,-22.8167,47.8333,77.04,92,98,5.48
211,Shizunai,JP,2021-11-24 18:49:55,42.3339,142.3669,40.08,65,100,23.8
212,Kaohsiung,TW,2021-11-24 18:49:55,22.6163,120.3133,69.75,74,75,3.0
213,Esmeraldas,BR,2021-11-24 18:49:56,-19.7625,-44.3139,88.11,58,100,4.92
214,Plotnikovo,RU,2021-11-24 18:49:56,55.0247,85.9436,19.74,96,100,9.35
215,San Juan De Uraba,CO,2021-11-24 18:49:57,8.7592,-76.5297,82.24,73,48,6.71
216,Corrales,US,2021-11-24 18:49:57,35.2378,-106.6067,58.26,65,75,5.99
217,Kloulklubed,PW,2021-11-24 18:49:58,7.0419,134.2556,81.1,75,29,17.22
218,Markova,UA,2021-11-24 18:49:58,48.6758,24.4138,26.19,84,7,3.85
219,Mon,IN,2021-11-24 18:49:59,26.75,95.1,56.17,80,0,3.89
220,Choix,MX,2021-11-24 18:46:13,26.7092,-108.3219,83.52,31,64,5.75
221,Ternate,ID,2021-11-24 18:49:59,0.8,127.4,81.1,79,90,2.37
222,Pincher Creek,CA,2021-11-24 18:50:00,49.4833,-113.952,33.91,60,1,27.63
223,Verkhnyaya Inta,RU,2021-11-24 18:50:00,65.9811,60.3094,11.03,94,100,16.71
224,Kemijarvi,FI,2021-11-24 18:50:00,66.7131,27.4306,7.45,97,52,3.13
225,Ahipara,NZ,2021-11-24 18:50:01,-35.1667,173.1667,60.03,87,82,2.55
226,Berlevag,NO,2021-11-24 18:50:01,70.8578,29.0864,26.55,93,90,4.61
227,Hami,CN,2021-11-24 18:50:02,42.8,93.45,26.28,66,12,3.85
228,Paciran,ID,2021-11-24 18:50:03,-6.8767,112.3761,79.27,84,100,8.61
229,Pitimbu,BR,2021-11-24 18:50:03,-7.4706,-34.8086,88.39,68,2,10.27
230,Kodiak,US,2021-11-24 18:46:12,57.79,-152.4072,20.71,63,90,14.97
231,Biak,ID,2021-11-24 18:48:28,-0.9131,122.8766,76.37,83,100,1.81
232,Chapais,CA,2021-11-24 18:50:04,49.7834,-74.8492,26.38,79,20,8.52
233,Zyryanka,RU,2021-11-24 18:50:40,65.75,150.85,-11.63,97,100,8.46
234,Ambovombe,MG,2021-11-24 18:51:04,-25.1667,46.0833,71.02,78,29,9.01
235,Bonavista,CA,2021-11-24 18:51:05,48.6499,-53.1147,50.0,98,100,21.97
236,Kieta,PG,2021-11-24 18:51:05,-6.2167,155.6333,78.57,76,32,3.56
237,Eregli,TR,2021-11-24 18:51:05,37.5133,34.0467,51.49,63,92,1.25
238,Ponta Delgada,PT,2021-11-24 18:46:40,37.7333,-25.6667,65.5,72,75,12.66
239,Banda Aceh,ID,2021-11-24 18:51:06,5.5577,95.3222,76.68,84,100,5.3
240,Baghdad,IQ,2021-11-24 18:49:49,33.3406,44.4009,57.11,62,0,1.14
241,Puri,IN,2021-11-24 18:51:03,19.8,85.85,79.38,78,99,6.62
242,Buenos Aires,AR,2021-11-24 18:47:50,-34.6132,-58.3772,93.0,20,0,8.05
243,Arman,RU,2021-11-24 18:51:07,59.7,150.1667,12.65,76,2,9.75
244,Mogadishu,SO,2021-11-24 18:51:07,2.0371,45.3438,80.87,77,52,14.83
245,Rostovka,RU,2021-11-24 18:51:07,55.3842,71.8891,-0.78,99,56,5.57
246,Dickinson,US,2021-11-24 18:51:08,29.4608,-95.0513,77.2,69,90,5.01
247,Cockburn Town,TC,2021-11-24 18:51:08,21.4612,-71.1419,80.06,64,100,17.9
248,Belfast,GB,2021-11-24 18:51:09,54.5833,-5.9333,42.62,79,20,5.75
249,Acapulco,MX,2021-11-24 18:48:31,16.8634,-99.8901,85.01,65,1,6.06
250,Narsaq,GL,2021-11-24 18:51:09,60.9167,-46.05,35.4,98,100,7.9
251,The Valley,AI,2021-11-24 18:51:10,18.217,-63.0578,85.86,69,40,2.3
252,Grindavik,IS,2021-11-24 18:51:10,63.8424,-22.4338,30.67,74,90,9.22
253,Madingou,CG,2021-11-24 18:51:10,-4.1536,13.55,74.7,94,100,5.19
254,Kismayo,SO,2021-11-24 18:51:11,-0.3582,42.5454,79.72,83,75,11.12
255,Litovko,RU,2021-11-24 18:51:11,49.2361,135.1742,7.9,94,100,5.91
256,Isla Mujeres,MX,2021-11-24 18:50:02,21.2311,-86.731,80.17,57,8,9.84
257,Te Anau,NZ,2021-11-24 18:51:12,-45.4167,167.7167,50.09,80,100,3.2
258,Tynda,RU,2021-11-24 18:51:12,55.1667,124.7167,-3.46,95,89,2.39
259,Tamiahua,MX,2021-11-24 18:51:12,21.2667,-97.45,78.26,64,50,9.04
260,Kadhan,PK,2021-11-24 18:51:13,24.481,68.9859,75.07,54,0,7.25
261,Pangai,TO,2021-11-24 18:51:13,-19.8,-174.35,77.11,88,20,0.0
262,Champerico,GT,2021-11-24 18:51:14,14.3,-91.9167,93.76,67,47,6.58
263,Palauig,PH,2021-11-24 18:51:14,15.435,119.9045,79.92,73,54,5.32
264,Port-Cartier,CA,2021-11-24 18:51:14,50.0334,-66.8654,37.62,51,0,15.28
265,Bosilegrad,RS,2021-11-24 18:51:15,42.5011,22.4724,41.68,88,94,2.55
266,Lebanon,US,2021-11-24 18:48:46,36.2081,-86.2911,59.9,33,1,14.97
267,Voyinka,UA,2021-11-24 18:51:15,45.8699,33.9914,34.34,70,3,1.28
268,Shkotovo,RU,2021-11-24 18:51:16,43.3319,132.3625,13.28,62,54,0.0
269,Bay Roberts,CA,2021-11-24 18:51:16,47.5999,-53.2648,52.03,89,100,5.99
270,Yurga,RU,2021-11-24 18:51:16,55.7231,84.8861,20.53,93,100,9.31
271,Bayangol,RU,2021-11-24 18:51:17,50.6977,103.4656,8.69,95,57,2.3
272,Le Mans,FR,2021-11-24 18:51:18,48.0,0.2,37.33,87,40,2.3
273,Xichang,CN,2021-11-24 18:51:18,27.8964,102.2634,44.19,87,52,1.28
274,Laguna,US,2021-11-24 18:51:18,38.421,-121.4238,64.0,48,1,4.0
275,Saint-Georges,GD,2021-11-24 18:51:19,12.0564,-61.7485,85.68,74,75,13.8
276,Kavieng,PG,2021-11-24 18:49:37,-2.5744,150.7967,82.4,73,20,12.06
277,Anadyr,RU,2021-11-24 18:49:35,64.75,177.4833,-14.01,75,0,11.01
278,Karlshamn,SE,2021-11-24 18:51:19,56.1706,14.8619,45.09,85,100,9.84
279,Port Moresby,PG,2021-11-24 18:51:20,-9.4431,147.1797,76.42,94,75,5.75
280,Matara,LK,2021-11-24 18:50:19,5.9485,80.5353,76.05,91,100,1.54
281,Dharchula,IN,2021-11-24 18:51:16,29.85,80.5333,51.6,46,0,6.22
282,Akhaldaba,GE,2021-11-24 18:52:20,41.654,42.1516,39.76,99,100,1.86
283,Mahebourg,MU,2021-11-24 18:52:21,-20.4081,57.7,77.25,83,20,5.75
284,Plettenberg Bay,ZA,2021-11-24 18:52:21,-34.0527,23.3716,59.65,76,20,10.31
285,Manali,IN,2021-11-24 18:52:22,13.1667,80.2667,82.49,88,100,9.91
286,Padang,ID,2021-11-24 18:52:22,-0.9492,100.3543,75.25,71,100,3.04
287,Prescott,US,2021-11-24 18:49:51,34.54,-112.4685,57.9,46,1,1.99
288,Ivrea,IT,2021-11-24 18:52:23,45.4672,7.8762,49.3,86,100,3.42
289,Rorvik,NO,2021-11-24 18:52:23,64.8621,11.2373,41.11,81,40,8.05
290,Zyryanskoye,RU,2021-11-24 18:52:23,56.8306,86.6258,20.66,91,100,12.03
291,Dhidhdhoo,MV,2021-11-24 18:52:24,6.8833,73.1,77.97,84,100,11.92
292,Ketchikan,US,2021-11-24 18:52:24,55.3422,-131.6461,39.67,87,90,34.52
293,Pevek,RU,2021-11-24 18:52:25,69.7008,170.3133,-21.01,95,100,2.33
294,Alamos,MX,2021-11-24 18:52:25,27.0167,-108.9333,73.72,29,93,6.11
